Date,gross_ret,turnover,costs,net_ret,cum_gross,cum_net
2021-10-28,0.012170798681255956,0.2,0.0001,0.012070798681255957,1.0090454284291241,1.0024551923115719
2021-10-29,-0.00011771879915438714,0.19999999999999998,9.999999999999999e-05,-0.00021771879915438713,1.0089266448129972,1.0022369389708958
2021-11-01,-0.0004299310901059617,0.2,0.0001,-0.0005299310901059617,1.0084928758807559,1.0017058224572826
2021-11-02,0.0021561209687833926,0.19999999999999998,9.999999999999999e-05,0.0020561209687833927,1.010667308517311,1.0037654508033895
2021-11-03,-0.005402125030351201,0.2,0.0001,-0.005502125030351202,1.005207557352612,0.9982426077919224
2021-11-04,0.0023558673878718017,0.0,0.0,0.0023558673878718017,1.0075756930550215,1.0005943349968036
2021-11-05,-0.004160034867848994,0.0,0.0,-0.004160034867848994,1.0033841430399155,0.9964318276746448
2021-11-08,0.0027728163088118762,0.0,0.0,0.0027728163088118762,1.00616634295574,0.9991947500970403
2021-11-09,-0.0019166688359429918,0.0,0.0,-0.0019166688359429918,1.0042378552824218,0.9972796246584914
2021-11-10,-0.0026328779380167533,0.0,0.0,-0.0026328779380167533,1.0015938195887275,0.9946539091366945
2021-11-11,0.0007159210770301128,0.0,0.0,0.0007159210770301128,1.0023108817147943,0.995366002834596
2021-11-12,0.000998572351130711,0.0,0.0,0.000998572351130711,1.0033117616485123,0.9963599478042822
2021-11-15,-0.0017846173722326775,0.0,0.0,-0.0017846173722326775,1.001521234048909,0.9945818265324338
2021-11-16,0.007905952273565275,0.0,0.0,0.007905952273565275,1.009439213126262,1.0024449429851547
2021-11-17,0.0110979848977798,0.0,0.0,0.0110979848977798,1.020641954268764,1.0135700618232597
2021-11-18,0.005792094239374768,0.0,0.0,0.005792094239374768,1.0265536086525482,1.019440755139549
2021-11-19,0.006243586484535768,0.0,0.0,0.006243586484535768,1.0329629848891828,1.0258057216601233
2021-11-22,0.004374273920313643,0.0,0.0,0.004374273920313643,1.0374814479346328,1.0302928768756896
2021-11-23,0.0013012990755381093,0.0,0.0,0.0013012990755381093,1.038831521583718,1.0316335960439014
2021-11-24,-0.003661522201727496,0.0,0.0,-0.003661522201727496,1.035027816903585,1.0278562467279386
2021-11-26,0.0003963359726967264,0.0,0.0,0.0003963359726967264,1.0354380356601653,1.0282636231332778
2021-11-29,0.024760151629839244,0.0,0.0,0.024760151629839244,1.061075638426414,1.0537235863575056
2021-11-30,-0.000831693801128186,0.0,0.0,-0.000831693801128186,1.0601931483954066,1.0528472109826297
